label,2020,2019,2018
Print Items in Collection,3076301,2876301,2376301
Electronic Items in Collection,3169957,3069957,2969957
VUIR,9524,8524,8323
TVNA video segments,1518709,1118709,1107223
"Special Collections & University Archives, linear footage",40627,39627,20627
